,Var1,Freq,Type,ICTV
128,Phenuiviridae,162,ssRNA(+/-),TRUE
129,Phycodnaviridae,39,dsDNA,TRUE
130,Picobirnaviridae,20,dsRNA,TRUE
131,Picornavirales,112,ssRNA(+),TRUE
132,Picornaviridae,580,ssRNA(+),TRUE
133,Pithoviridae,2,dsDNA,FALSE
134,Plasmaviridae,1,dsDNA,TRUE
135,Plectroviridae,7,ssDNA(+),TRUE
136,Pleolipoviridae,14,dsDNA; ssDNA,TRUE
137,Pneumoviridae,17,ssRNA(-),TRUE
138,Podoviridae,280,dsDNA,TRUE
139,Polycipiviridae,12,ssRNA(+),TRUE
140,Polydnaviridae,21,dsDNA,TRUE
141,Polymycoviridae,8,dsRNA,TRUE
142,Polyomaviridae,166,dsDNA,TRUE
143,Portogloboviridae,3,dsDNA,TRUE
144,Pospiviroidae,90,ssRNA,TRUE
145,Potyviridae,491,ssRNA(+),TRUE
146,Poxviridae,160,dsDNA,TRUE
147,Qinviridae,2,ssRNA(-),TRUE
148,Quadriviridae,1,dsRNA,TRUE
149,Redondoviridae,1,ssDNA,TRUE
150,Reoviridae,250,dsRNA,TRUE
151,Retroviridae,168,ssRNA-RT,TRUE
152,Rhabdoviridae,415,ssRNA(-),TRUE
153,Roniviridae,9,ssRNA(+),TRUE
154,Rountreeviridae,37,dsDNA,TRUE
155,Rudiviridae,15,dsDNA,TRUE
156,Salasmaviridae,55,dsDNA,TRUE
157,Sarthroviridae,1,ssRNA(+),TRUE
158,Schitoviridae,116,dsDNA,TRUE
159,Secoviridae,295,ssRNA(+),TRUE
160,Sinhaliviridae,8,ssRNA(+),TRUE
161,Siphoviridae,2672,dsDNA,TRUE
162,Smacoviridae,61,ssDNA(+/-),TRUE
163,Solemoviridae,132,ssRNA(+),TRUE
164,Solinviviridae,2,ssRNA(+),TRUE
165,Sphaerolipoviridae,7,dsDNA,TRUE
166,Spiraviridae,1,ssDNA(+),TRUE
167,Steitzviridae,1,ssRNA(+),TRUE
168,Sunviridae,1,ssRNA(-),TRUE
169,Tectiviridae,22,dsDNA,TRUE
170,Tobaniviridae,23,ssRNA(+),TRUE
171,Togaviridae,140,ssRNA(+),TRUE
172,Tolecusatellitidae,177,ssDNA,TRUE
173,Tombusviridae,228,ssRNA,TRUE
174,Tospoviridae,89,ssRNA(+/-),TRUE
175,Totiviridae,111,dsRNA,TRUE
176,Tristromaviridae,2,dsDNA,TRUE
177,Turriviridae,2,dsDNA,TRUE
178,Tymovirales,6,ssRNA(+),TRUE
179,Tymoviridae,105,ssRNA(+),TRUE
180,Virgaviridae,167,ssRNA(+),TRUE
181,Viridisbunyaviridae,12,ssRNA,FALSE
182,Wupedeviridae,1,ssRNA(-),TRUE
183,Xinmoviridae,6,ssRNA(-),TRUE
184,Yueviridae,3,ssRNA(-),TRUE
185,Zobellviridae,18,dsDNA,TRUE
